date,page,segment,clicks,impressions,position
2026-02-02,P06,general,1,36,12.79
2026-02-02,P06,local,1,29,13.11
2026-02-02,P07,general,4,112,10.59
2026-02-02,P07,local,1,43,10.34
2026-02-02,P08,general,11,106,4.73
2026-02-02,P08,local,1,40,4.59
2026-02-02,P09,general,3,82,10.16
2026-02-02,P09,local,2,34,10.34
2026-02-02,P10,general,0,57,15.04
2026-02-02,P10,local,1,21,15.05
2026-02-02,P11,general,0,28,12.94
2026-02-02,P11,local,2,23,12.75
2026-02-02,P12,general,5,74,6.74
2026-02-02,P12,local,3,37,6.79
2026-02-02,P13,general,3,76,5.83
2026-02-02,P13,local,3,57,6.27
2026-02-02,P14,general,3,38,19.48
2026-02-02,P14,local,0,27,19.24
2026-02-02,P15,general,0,48,20.98
2026-02-02,P15,local,0,31,21.44
2026-02-02,P16,general,2,97,14.59
2026-02-02,P16,local,0,62,13.84
2026-02-02,P17,general,5,96,9.33
2026-02-02,P17,local,0,61,8.9
2026-02-02,P18,general,0,58,16.27
2026-02-02,P18,local,0,32,15.55
2026-02-02,P19,general,11,126,5.71
2026-02-02,P19,local,4,87,5.39
2026-02-02,P20,general,3,51,7.53
2026-02-02,P20,local,4,50,7.35
2026-02-02,P21,general,5,90,11.81
2026-02-02,P21,local,2,64,11.53
2026-02-02,P22,general,1,66,17.99
2026-02-02,P22,local,0,30,18.24
2026-02-02,P23,general,3,82,8.62
2026-02-02,P23,local,3,40,7.56
2026-02-02,P24,general,2,78,14.63
2026-02-02,P24,local,1,42,14.52
2026-02-02,P25,general,1,34,17.02
2026-02-02,P25,local,1,26,16.64
2026-02-03,P01,general,0,48,15.26
2026-02-03,P01,local,1,28,14.7
2026-02-03,P02,general,1,84,11.61
2026-02-03,P02,local,3,46,11.52
2026-02-03,P03,general,0,39,16.24
2026-02-03,P03,local,0,29,15.88
2026-02-03,P04,general,3,67,16.88
2026-02-03,P04,local,2,59,16.67
2026-02-03,P05,general,7,118,5.2
2026-02-03,P05,local,2,95,5.33
2026-02-03,P06,general,1,30,14.28
2026-02-03,P06,local,0,38,14.61
2026-02-03,P07,general,2,132,10.74
2026-02-03,P07,local,0,39,9.98
2026-02-03,P08,general,9,116,4.73
2026-02-03,P08,local,2,31,4.82
2026-02-03,P09,general,5,85,11.48
2026-02-03,P09,local,1,31,12.01
2026-02-03,P10,general,4,71,13.29
2026-02-03,P10,local,0,23,14.97
2026-02-03,P11,general,1,29,12.14
2026-02-03,P11,local,1,28,12.11
2026-02-03,P12,general,3,94,6.15
2026-02-03,P12,local,2,27,6.21
2026-02-03,P13,general,6,81,5.71
2026-02-03,P13,local,3,62,5.58
2026-02-03,P14,general,1,38,19.03
2026-02-03,P14,local,0,18,19.79
2026-02-03,P15,general,1,56,21.77
2026-02-03,P15,local,0,25,21.33
2026-02-03,P16,general,3,97,15.15
2026-02-03,P16,local,0,55,14.79
2026-02-03,P17,general,8,104,8.66
2026-02-03,P17,local,0,46,8.63
2026-02-03,P18,general,2,63,16.2
2026-02-03,P18,local,0,28,15.2
2026-02-03,P19,general,7,135,5.74
2026-02-03,P19,local,3,60,6.04
2026-02-03,P20,general,1,65,7.49
2026-02-03,P20,local,1,42,7.38
2026-02-03,P21,general,5,94,9.03
2026-02-03,P21,local,1,67,8.77
2026-02-03,P22,general,0,78,16.22
2026-02-03,P22,local,1,30,16.43
2026-02-03,P23,general,3,83,8.46
2026-02-03,P23,local,1,32,8.49
2026-02-03,P24,general,4,86,13.73
2026-02-03,P24,local,2,45,14.07
2026-02-03,P25,general,0,40,16.95
2026-02-03,P25,local,1,22,17.5
2026-02-04,P01,general,1,57,14.03
2026-02-04,P01,local,0,32,14.46
2026-02-04,P02,general,2,76,11.89
2026-02-04,P02,local,0,22,12.28
2026-02-04,P03,general,1,67,14.69
2026-02-04,P03,local,0,43,14.72
2026-02-04,P04,general,2,86,16.37
2026-02-04,P04,local,1,30,16.53
2026-02-04,P05,general,11,135,5.07
2026-02-04,P05,local,6,96,4.57
2026-02-04,P06,general,0,55,13.43
2026-02-04,P06,local,1,25,12.85
2026-02-04,P07,general,7,136,10.12
2026-02-04,P07,local,2,48,10.57
2026-02-04,P08,general,6,89,4.51
2026-02-04,P08,local,3,47,4.3
2026-02-04,P09,general,1,72,10.28
2026-02-04,P09,local,1,29,10.25
2026-02-04,P10,general,3,63,14.41
2026-02-04,P10,local,0,16,14.34
2026-02-04,P11,general,2,25,12.75
2026-02-04,P11,local,0,29,11.7
2026-02-04,P12,general,2,68,6.6
2026-02-04,P12,local,1,22,6.15
2026-02-04,P13,general,6,72,6.18
2026-02-04,P13,local,6,61,6.2
2026-02-04,P14,general,1,46,20.03
2026-02-04,P14,local,2,32,20.76
2026-02-04,P15,general,1,39,21.66
2026-02-04,P15,local,0,30,20.92
2026-02-04,P16,general,3,75,16.53
2026-02-04,P16,local,2,55,16.79
2026-02-04,P17,general,3,102,10
2026-02-04,P17,local,3,61,10.12
2026-02-04,P18,general,1,78,14.86
2026-02-04,P18,local,1,40,15.27
2026-02-04,P19,general,6,122,5.72
2026-02-04,P19,local,6,81,5.99
2026-02-04,P20,general,7,73,6.52
2026-02-04,P20,local,0,50,6.84
2026-02-04,P21,general,8,88,9.98
2026-02-04,P21,local,5,75,9.96
2026-02-04,P22,general,2,60,13.71
2026-02-04,P22,local,3,34,14.27
2026-02-04,P23,general,3,82,8.65
2026-02-04,P23,local,0,30,8.36
2026-02-04,P24,general,2,87,14.38
2026-02-04,P24,local,0,41,15.4
2026-02-04,P25,general,3,58,16.6
2026-02-04,P25,local,0,23,15.7
2026-02-05,P01,general,1,55,13.84
2026-02-05,P01,local,0,32,13.35
2026-02-05,P02,general,1,74,11.93
2026-02-05,P02,local,1,44,11.65
2026-02-05,P03,general,1,68,15.08
2026-02-05,P03,local,1,37,14.66
2026-02-05,P04,general,1,65,18.43
2026-02-05,P04,local,0,42,18.75
2026-02-05,P05,general,14,143,4.83
2026-02-05,P05,local,2,93,4.96
2026-02-05,P06,general,2,37,13.6
2026-02-05,P06,local,2,25,13.54
2026-02-05,P07,general,3,128,9.77
2026-02-05,P07,local,2,56,9.38
2026-02-05,P08,general,6,93,4.45
2026-02-05,P08,local,3,39,4.34
2026-02-05,P09,general,6,65,9.85
2026-02-05,P09,local,3,48,9.67
2026-02-05,P10,general,1,61,14.5
2026-02-05,P10,local,1,24,13.96
2026-02-05,P11,general,2,30,11.5
2026-02-05,P11,local,2,20,13.13
2026-02-05,P12,general,2,72,6.02
2026-02-05,P12,local,3,41,6.06
2026-02-05,P13,general,4,64,6.22
2026-02-05,P13,local,1,52,6
2026-02-05,P14,general,2,48,18.64
2026-02-05,P14,local,1,27,17.43
2026-02-05,P15,general,0,37,20.62
2026-02-05,P15,local,0,21,19.91
2026-02-05,P16,general,1,77,16.12
2026-02-05,P16,local,1,56,16.03
2026-02-05,P17,general,4,101,8.96
2026-02-05,P17,local,0,54,8.86
2026-02-05,P18,general,0,73,16.79
2026-02-05,P18,local,1,32,18
2026-02-05,P19,general,6,134,5.74
2026-02-05,P19,local,2,70,5.5
2026-02-05,P20,general,0,61,6.5
2026-02-05,P20,local,3,58,6.51
2026-02-05,P21,general,2,82,11.76
2026-02-05,P21,local,1,47,11.11
2026-02-05,P22,general,0,84,16.98
2026-02-05,P22,local,0,39,16.28
2026-02-05,P23,general,5,99,8.41
2026-02-05,P23,local,2,34,8.44
2026-02-05,P24,general,3,86,13.95
2026-02-05,P24,local,1,48,14.31
2026-02-05,P25,general,2,40,17.5
2026-02-05,P25,local,0,29,17.32
2026-02-06,P01,general,1,61,15
2026-02-06,P01,local,2,31,15.4
2026-02-06,P02,general,1,62,11.42
2026-02-06,P02,local,1,39,11.71
2026-02-06,P03,general,1,73,13.48
2026-02-06,P03,local,0,37,14.26
2026-02-06,P04,general,3,80,18.21
2026-02-06,P04,local,1,43,18.1
2026-02-06,P05,general,7,117,5.69
2026-02-06,P05,local,3,75,5.48
2026-02-06,P06,general,0,40,12.87
2026-02-06,P06,local,0,20,12.85
2026-02-06,P07,general,4,140,10.62
2026-02-06,P07,local,3,52,10.21
2026-02-06,P08,general,7,94,4.84
2026-02-06,P08,local,2,44,4.44
2026-02-06,P09,general,1,84,10.55
2026-02-06,P09,local,0,28,10.97
2026-02-06,P10,general,2,52,14.96
2026-02-06,P10,local,1,20,15.59
2026-02-06,P11,general,1,36,12.56
2026-02-06,P11,local,0,28,13.31
2026-02-06,P12,general,4,59,6.68
2026-02-06,P12,local,5,36,6.44
2026-02-06,P13,general,2,77,6
2026-02-06,P13,local,5,64,5.69
2026-02-06,P14,general,1,46,17.19
2026-02-06,P14,local,0,25,17.06
2026-02-06,P15,general,0,45,19.01
2026-02-06,P15,local,0,15,18.98
2026-02-06,P16,general,1,74,17.03
2026-02-06,P16,local,4,56,16.79
2026-02-06,P17,general,2,110,10.21
2026-02-06,P17,local,3,45,10.59
2026-02-06,P18,general,1,68,15.03
2026-02-06,P18,local,1,52,14.66
2026-02-06,P19,general,4,104,6.04
2026-02-06,P19,local,3,63,6.58
2026-02-06,P20,general,2,61,7.14
2026-02-06,P20,local,0,50,7.28
2026-02-06,P21,general,0,81,12.13
2026-02-06,P21,local,2,67,12.05
2026-02-06,P22,general,2,79,17.25
2026-02-06,P22,local,2,27,17.29
2026-02-06,P23,general,11,100,8.86
2026-02-06,P23,local,1,28,8.56
2026-02-06,P24,general,1,88,15.19
2026-02-06,P24,local,1,50,15.18
2026-02-06,P25,general,1,39,16.15
2026-02-06,P25,local,0,34,16.8
2026-02-07,P01,general,1,61,13.6
2026-02-07,P01,local,1,20,13.5
2026-02-07,P02,general,1,58,12.04
2026-02-07,P02,local,0,30,11.97
2026-02-07,P03,general,1,51,12.41
2026-02-07,P03,local,0,33,12.76
2026-02-07,P04,general,1,50,20.46
2026-02-07,P04,local,1,37,21.17
2026-02-07,P05,general,5,128,5.16
2026-02-07,P05,local,4,84,5.04
2026-02-07,P06,general,0,29,12.92
2026-02-07,P06,local,0,17,12.04
2026-02-07,P07,general,1,83,10.18
2026-02-07,P07,local,2,42,10.31
2026-02-07,P08,general,5,76,4.66
2026-02-07,P08,local,0,22,4.61
2026-02-07,P09,general,2,61,10.88
2026-02-07,P09,local,1,20,10.8
2026-02-07,P10,general,0,38,13.62
2026-02-07,P10,local,0,10,13.26
2026-02-07,P11,general,1,28,12.83
2026-02-07,P11,local,0,12,12.35
2026-02-07,P12,general,1,45,6.71
2026-02-07,P12,local,0,23,7.06
2026-02-07,P13,general,5,43,6.17
2026-02-07,P13,local,6,39,6.42
2026-02-07,P14,general,0,28,18.92
2026-02-07,P14,local,0,21,18.64
2026-02-07,P15,general,0,43,20.5
2026-02-07,P15,local,1,18,20.96
2026-02-07,P16,general,1,51,16.3
2026-02-07,P16,local,1,40,16.3
2026-02-07,P17,general,9,78,8.73
2026-02-07,P17,local,1,49,9.4
2026-02-07,P18,general,3,48,15.04
2026-02-07,P18,local,0,34,14.39
2026-02-07,P19,general,6,108,5.6
2026-02-07,P19,local,2,61,5.46
2026-02-07,P20,general,3,54,7.09
2026-02-07,P20,local,1,32,6.57
2026-02-07,P21,general,4,69,10.55
2026-02-07,P21,local,1,54,11.05
2026-02-07,P22,general,0,55,16.5
2026-02-07,P22,local,1,28,16.49
2026-02-07,P23,general,1,67,8.27
2026-02-07,P23,local,1,24,8.49
2026-02-07,P24,general,1,59,14.04
2026-02-07,P24,local,0,31,13.45
2026-02-07,P25,general,1,30,16.91
2026-02-07,P25,local,0,23,17.09
2026-02-08,P01,general,1,42,15.47
2026-02-08,P01,local,0,19,14.66
2026-02-08,P02,general,0,51,11.17
2026-02-08,P02,local,0,31,10.75
2026-02-08,P03,general,3,54,13.13
2026-02-08,P03,local,0,37,13.96
2026-02-08,P04,general,3,59,17.14
2026-02-08,P04,local,1,30,15.89
2026-02-08,P05,general,6,98,4.88
2026-02-08,P05,local,5,71,4.95
2026-02-08,P06,general,2,29,14.5
2026-02-08,P06,local,0,20,14.47
2026-02-08,P07,general,1,87,9.78
2026-02-08,P07,local,2,39,9.86
2026-02-08,P08,general,6,73,4.41
2026-02-08,P08,local,1,27,4.39
2026-02-08,P09,general,3,68,10.38
2026-02-08,P09,local,0,19,10.57
2026-02-08,P10,general,1,28,15.02
2026-02-08,P10,local,0,15,14.48
2026-02-08,P11,general,3,23,12.03
2026-02-08,P11,local,0,20,11.73
2026-02-08,P12,general,4,57,6.55
2026-02-08,P12,local,1,18,6.52
2026-02-08,P13,general,3,58,6.65
2026-02-08,P13,local,1,54,6.19
2026-02-08,P14,general,0,34,17.31
2026-02-08,P14,local,0,15,18.26
2026-02-08,P15,general,0,29,19.73
2026-02-08,P15,local,0,13,18.87
2026-02-08,P16,general,2,62,17.42
2026-02-08,P16,local,2,50,16.14
2026-02-08,P17,general,6,87,9.35
2026-02-08,P17,local,2,41,9.18
2026-02-08,P18,general,1,50,14.27
2026-02-08,P18,local,0,25,14.37
2026-02-08,P19,general,7,102,6.38
2026-02-08,P19,local,2,54,6.53
2026-02-08,P20,general,3,44,7.59
2026-02-08,P20,local,1,25,7.34
2026-02-08,P21,general,4,59,10.65
2026-02-08,P21,local,1,43,10.85
2026-02-08,P22,general,0,45,19.95
2026-02-08,P22,local,1,23,19.57
2026-02-08,P23,general,4,83,7.71
2026-02-08,P23,local,0,23,7.96
2026-02-08,P24,general,2,71,12.79
2026-02-08,P24,local,0,30,13.2
2026-02-08,P25,general,0,23,17.35
2026-02-08,P25,local,3,21,17.3
2026-02-09,P01,general,3,69,13.41
2026-02-09,P01,local,0,32,13.54
2026-02-09,P02,general,1,69,10.9
2026-02-09,P02,local,3,47,11.09
2026-02-09,P03,general,2,66,14.1
2026-02-09,P03,local,0,43,13.73
2026-02-09,P04,general,4,75,16.03
2026-02-09,P04,local,2,53,15.46
2026-02-09,P05,general,7,136,4.85
2026-02-09,P05,local,2,84,4.69
2026-02-09,P06,general,1,35,13.65
2026-02-09,P06,local,1,25,14.24
2026-02-09,P07,general,7,133,11.5
2026-02-09,P07,local,1,44,11.13
2026-02-09,P08,general,7,110,4.1
2026-02-09,P08,local,4,25,4.2
2026-02-09,P09,general,2,92,10.48
2026-02-09,P09,local,0,37,10.85
2026-02-09,P10,general,0,63,15.34
2026-02-09,P10,local,2,28,15.63
2026-02-09,P11,general,1,29,11.8
2026-02-09,P11,local,1,26,11.84
2026-02-09,P12,general,2,61,6.63
2026-02-09,P12,local,1,22,6.99
2026-02-09,P13,general,3,66,5.65
2026-02-09,P13,local,3,58,6.05
2026-02-09,P14,general,0,42,17.18
2026-02-09,P14,local,0,35,18.14
2026-02-09,P15,general,2,43,19.95
2026-02-09,P15,local,0,15,20.47
2026-02-09,P16,general,3,97,15.03
2026-02-09,P16,local,2,46,15.36
2026-02-09,P17,general,4,91,9.15
2026-02-09,P17,local,2,43,9.52
2026-02-09,P18,general,0,61,16.86
2026-02-09,P18,local,0,37,16.48
2026-02-09,P19,general,8,122,5.91
2026-02-09,P19,local,6,65,5.53
2026-02-09,P20,general,4,72,7.22
2026-02-09,P20,local,3,53,7.29
2026-02-09,P21,general,3,83,11.61
2026-02-09,P21,local,6,59,10.67
2026-02-09,P22,general,2,66,18.16
2026-02-09,P22,local,0,33,18.39
2026-02-09,P23,general,5,103,8.77
2026-02-09,P23,local,2,35,8.34
2026-02-09,P24,general,2,81,13.15
2026-02-09,P24,local,1,54,12.73
2026-02-09,P25,general,1,34,16.52
2026-02-09,P25,local,0,40,17.35
2026-02-10,P01,general,2,57,13.7
2026-02-10,P01,local,1,30,14.51
2026-02-10,P02,general,2,81,10.97
2026-02-10,P02,local,3,47,10.4
2026-02-10,P03,general,1,62,14.59
2026-02-10,P03,local,1,42,14.79
2026-02-10,P04,general,3,63,17.18
2026-02-10,P04,local,0,29,17.27
2026-02-10,P05,general,7,102,5.16
2026-02-10,P05,local,6,101,4.81
2026-02-10,P06,general,3,47,12.02
2026-02-10,P06,local,1,33,11.72
2026-02-10,P07,general,1,121,10.03
2026-02-10,P07,local,0,51,9.69
2026-02-10,P08,general,5,102,4.7
2026-02-10,P08,local,0,30,4.6
2026-02-10,P09,general,2,64,9.58
2026-02-10,P09,local,1,28,9.98
2026-02-10,P10,general,0,53,14.37
2026-02-10,P10,local,0,24,14.48
2026-02-10,P11,general,0,37,11.76
2026-02-10,P11,local,2,23,12.15
2026-02-10,P12,general,3,45,6.8
2026-02-10,P12,local,2,32,6.9
2026-02-10,P13,general,3,74,7.07
2026-02-10,P13,local,2,55,6.87
2026-02-10,P14,general,3,48,17.37
2026-02-10,P14,local,0,23,18.41
2026-02-10,P15,general,0,41,19.1
2026-02-10,P15,local,0,26,20.19
2026-02-10,P16,general,1,79,15.69
2026-02-10,P16,local,1,60,14.82
2026-02-10,P17,general,4,86,10.48
2026-02-10,P17,local,1,53,9.54
2026-02-10,P18,general,0,67,15.16
2026-02-10,P18,local,0,42,16.19
2026-02-10,P19,general,14,150,5.66
2026-02-10,P19,local,6,81,5.62
2026-02-10,P20,general,1,64,7.19
2026-02-10,P20,local,5,44,7.39
2026-02-10,P21,general,3,96,9.33
2026-02-10,P21,local,3,67,9.96
2026-02-10,P22,general,1,71,15.4
2026-02-10,P22,local,3,41,16.2
2026-02-10,P23,general,5,92,8.29
2026-02-10,P23,local,3,35,8.54
2026-02-10,P24,general,3,70,15.02
2026-02-10,P24,local,0,35,15.08
2026-02-10,P25,general,0,41,15.4
2026-02-10,P25,local,1,35,14.52
2026-02-11,P01,general,1,62,15.74
2026-02-11,P01,local,0,45,16.04
2026-02-11,P02,general,3,61,10.38
2026-02-11,P02,local,0,42,11
2026-02-11,P03,general,2,54,15.01
2026-02-11,P03,local,0,42,15.33
2026-02-11,P04,general,1,76,18.35
2026-02-11,P04,local,0,48,17.62
2026-02-11,P05,general,12,138,5.12
2026-02-11,P05,local,7,108,4.69
2026-02-11,P06,general,4,38,13.06
2026-02-11,P06,local,0,22,12.34
2026-02-11,P07,general,5,120,10.61
2026-02-11,P07,local,2,47,10.21
2026-02-11,P08,general,7,105,4.06
2026-02-11,P08,local,8,48,3.7
2026-02-11,P09,general,5,76,11.48
2026-02-11,P09,local,0,31,11.62
2026-02-11,P10,general,4,53,14.56
2026-02-11,P10,local,2,22,13.36
2026-02-11,P11,general,0,37,11.74
2026-02-11,P11,local,1,31,11.74
2026-02-11,P12,general,3,61,6.75
2026-02-11,P12,local,1,30,6.48
2026-02-11,P13,general,4,84,5.78
2026-02-11,P13,local,4,55,5.61
2026-02-11,P14,general,0,37,18.95
2026-02-11,P14,local,0,38,18.22
2026-02-11,P15,general,0,45,19.49
2026-02-11,P15,local,0,19,19.89
2026-02-11,P16,general,0,77,17.68
2026-02-11,P16,local,0,50,17.54
2026-02-11,P17,general,2,110,9.44
2026-02-11,P17,local,2,47,9.24
2026-02-11,P18,general,5,65,14.35
2026-02-11,P18,local,1,38,14.2
2026-02-11,P19,general,8,142,5.83
2026-02-11,P19,local,4,73,5.44
2026-02-11,P20,general,2,51,7.1
2026-02-11,P20,local,2,54,7.47
2026-02-11,P21,general,1,108,10.35
2026-02-11,P21,local,7,78,10.01
2026-02-11,P22,general,2,66,17.14
2026-02-11,P22,local,0,41,17.09
2026-02-11,P23,general,1,84,8.83
2026-02-11,P23,local,1,31,8.64
2026-02-11,P24,general,3,94,15.07
2026-02-11,P24,local,1,48,15.48
2026-02-11,P25,general,0,37,16.59
2026-02-11,P25,local,1,39,16.34
2026-02-12,P01,general,0,52,12.65
2026-02-12,P01,local,0,32,12.96
2026-02-12,P02,general,3,75,11.92
2026-02-12,P02,local,0,38,11.7
2026-02-12,P03,general,3,67,14.12
2026-02-12,P03,local,0,49,13.64
2026-02-12,P04,general,2,81,16.7
2026-02-12,P04,local,2,51,16.54
2026-02-12,P05,general,8,126,5.62
2026-02-12,P05,local,5,91,5.03
2026-02-12,P06,general,1,43,13.21
2026-02-12,P06,local,1,20,12.87
2026-02-12,P07,general,5,135,9.58
2026-02-12,P07,local,4,52,9.56
2026-02-12,P08,general,7,111,4.68
2026-02-12,P08,local,3,33,4.71
2026-02-12,P09,general,0,66,10.69
2026-02-12,P09,local,1,28,9.83
2026-02-12,P10,general,1,50,15.21
2026-02-12,P10,local,1,26,15.16
2026-02-12,P11,general,1,35,13.48
2026-02-12,P11,local,1,27,13.13
2026-02-12,P12,general,4,74,6.21
2026-02-12,P12,local,5,29,6.15
2026-02-12,P13,general,5,66,5.4
2026-02-12,P13,local,4,51,5.57
2026-02-12,P14,general,0,44,16.35
2026-02-12,P14,local,0,44,17.38
2026-02-12,P15,general,1,49,20.95
2026-02-12,P15,local,1,19,21.07
2026-02-12,P16,general,3,76,14.65
2026-02-12,P16,local,2,50,15.09
2026-02-12,P17,general,5,109,9.37
2026-02-12,P17,local,1,46,8.99
2026-02-12,P18,general,2,67,16.16
2026-02-12,P18,local,0,30,16.41
2026-02-12,P19,general,6,119,5.91
2026-02-12,P19,local,5,69,6.03
2026-02-12,P20,general,4,70,7.23
2026-02-12,P20,local,6,45,7.7
2026-02-12,P21,general,6,100,10.95
2026-02-12,P21,local,3,72,10.42
2026-02-12,P22,general,1,72,18.84
2026-02-12,P22,local,1,37,18.52
2026-02-12,P23,general,5,93,9.03
2026-02-12,P23,local,0,35,9.61
2026-02-12,P24,general,0,72,13.34
2026-02-12,P24,local,1,45,13.21
2026-02-12,P25,general,0,42,17.44
2026-02-12,P25,local,0,16,17.89
2026-02-13,P01,general,1,55,13.43
2026-02-13,P01,local,0,24,14.05
2026-02-13,P02,general,2,67,12.19
2026-02-13,P02,local,1,30,12.3
2026-02-13,P03,general,3,62,14.02
2026-02-13,P03,local,2,34,13.94
2026-02-13,P04,general,3,56,20.7
2026-02-13,P04,local,0,36,20.59
2026-02-13,P05,general,9,127,5.11
2026-02-13,P05,local,6,85,5.12
2026-02-13,P06,general,1,58,12.32
2026-02-13,P06,local,2,38,12.35
2026-02-13,P07,general,5,129,10.99
2026-02-13,P07,local,0,41,9.82
2026-02-13,P08,general,5,104,4.92
2026-02-13,P08,local,6,44,4.79
2026-02-13,P09,general,2,69,11.24
2026-02-13,P09,local,0,24,11.27
2026-02-13,P10,general,0,44,14.35
2026-02-13,P10,local,2,24,14.77
2026-02-13,P11,general,0,27,11.89
2026-02-13,P11,local,1,27,11.91
2026-02-13,P12,general,3,70,6.31
2026-02-13,P12,local,0,26,6.03
2026-02-13,P13,general,4,67,5.69
2026-02-13,P13,local,4,72,5.73
2026-02-13,P14,general,0,42,17.8
2026-02-13,P14,local,1,41,18.61
2026-02-13,P15,general,0,29,22.54
2026-02-13,P15,local,0,26,21.84
2026-02-13,P16,general,5,98,15.25
2026-02-13,P16,local,1,57,15.87
2026-02-13,P17,general,3,104,8.83
2026-02-13,P17,local,2,49,9.14
2026-02-13,P18,general,1,74,16.9
2026-02-13,P18,local,0,35,15.95
2026-02-13,P19,general,4,105,6.45
2026-02-13,P19,local,6,76,5.71
2026-02-13,P20,general,1,51,6.86
2026-02-13,P20,local,3,39,7.38
2026-02-13,P21,general,3,93,10.96
2026-02-13,P21,local,0,63,10.55
2026-02-13,P22,general,5,67,17.07
2026-02-13,P22,local,0,33,16.18
2026-02-13,P23,general,5,81,9.77
2026-02-13,P23,local,0,30,9.92
2026-02-13,P24,general,2,87,14.34
2026-02-13,P24,local,1,40,15.37
2026-02-13,P25,general,0,35,16.57
2026-02-13,P25,local,0,28,15.6
2026-02-14,P01,general,1,53,15.22
2026-02-14,P01,local,0,20,13.45
2026-02-14,P02,general,2,49,10.79
2026-02-14,P02,local,0,26,10.84
2026-02-14,P03,general,0,57,13.69
2026-02-14,P03,local,1,25,13.13
2026-02-14,P04,general,0,65,16.62
2026-02-14,P04,local,2,38,15.76
2026-02-14,P05,general,8,95,5.33
2026-02-14,P05,local,5,60,5.24
2026-02-14,P06,general,0,45,12.46
2026-02-14,P06,local,1,19,12.19
2026-02-14,P07,general,5,100,10.94
2026-02-14,P07,local,2,33,10.14
2026-02-14,P08,general,5,65,4.43
2026-02-14,P08,local,4,33,4.55
2026-02-14,P09,general,2,57,11.73
2026-02-14,P09,local,0,20,11.19
2026-02-14,P10,general,0,43,14.67
2026-02-14,P10,local,0,23,15.16
2026-02-14,P11,general,1,24,13.96
2026-02-14,P11,local,0,10,14.05
2026-02-14,P12,general,2,41,6.79
2026-02-14,P12,local,2,18,7
2026-02-14,P13,general,1,51,5.87
2026-02-14,P13,local,2,47,5.95
2026-02-14,P14,general,1,47,16.02
2026-02-14,P14,local,1,24,16.45
2026-02-14,P15,general,2,36,18.27
2026-02-14,P15,local,2,19,18.69
2026-02-14,P16,general,2,65,14.88
2026-02-14,P16,local,1,43,14.88
2026-02-14,P17,general,1,72,9.82
2026-02-14,P17,local,1,41,10.09
2026-02-14,P18,general,2,54,17.79
2026-02-14,P18,local,0,22,17.73
2026-02-14,P19,general,4,96,6.07
2026-02-14,P19,local,4,57,6.02
2026-02-14,P20,general,2,41,7.3
2026-02-14,P20,local,2,34,7.26
2026-02-14,P21,general,5,69,10.53
2026-02-14,P21,local,2,50,11.29
2026-02-14,P22,general,2,54,16.96
2026-02-14,P22,local,0,27,17.32
2026-02-14,P23,general,4,72,9.06
2026-02-14,P23,local,2,24,9.03
2026-02-14,P24,general,1,74,14.9
2026-02-14,P24,local,0,24,14.64
2026-02-14,P25,general,1,38,18.41
